species_id	sample_id	long_reads	short_reads
efae	E0139	long/E0139_porechop.fastq.gz	ERR2778306
efae	E6055	long/E6055_porechop.fastq.gz	ERR2778723
efae	E7246	long/E7246_porechop.fastq.gz	ERR2779399
efae	E8195	long/E8195_porechop.fastq.gz	ERR2778813
efae	E0595	long/E0595_porechop.fastq.gz	ERR2779493
efae	E6975	long/E6975_porechop.fastq.gz	ERR2778809
efae	E7313	long/E7313_porechop.fastq.gz	ERR2778351
efae	E8202	long/E8202_porechop.fastq.gz	ERR2778318
efae	E0656	long/E0656_porechop.fastq.gz	ERR2778275
efae	E6988	long/E6988_porechop.fastq.gz	ERR2778287
efae	E7356	long/E7356_porechop.fastq.gz	ERR2778750
efae	E8284	long/E8284_porechop.fastq.gz	ERR2778299
efae	E1334	long/E1334_porechop.fastq.gz	ERR2779291
efae	E7025	long/E7025_porechop.fastq.gz	ERR2779325
efae	E7357	long/E7357_porechop.fastq.gz	ERR2778685
efae	E8290	long/E8290_porechop.fastq.gz	ERR2778836
efae	E1774	long/E1774_porechop.fastq.gz	ERR2779329
efae	E7040	long/E7040_porechop.fastq.gz	ERR2778374
efae	E7429	long/E7429_porechop.fastq.gz	ERR2778665
efae	E8328	long/E8328_porechop.fastq.gz	ERR2779079
efae	E2079	long/E2079_porechop.fastq.gz	ERR2779495
efae	E7067	long/E7067_porechop.fastq.gz	ERR2778357
efae	E7441	long/E7441_porechop.fastq.gz	ERR2779296
efae	E8377	long/E8377_porechop.fastq.gz	ERR2778277
efae	E2364	long/E2364_porechop.fastq.gz	ERR2779582
efae	E7070	long/E7070_porechop.fastq.gz	ERR2778852
efae	E7471	long/E7471_porechop.fastq.gz	ERR2779595
efae	E8407	long/E8407_porechop.fastq.gz	ERR2778772
efae	E4227	long/E4227_porechop.fastq.gz	ERR2779600
efae	E7098	long/E7098_porechop.fastq.gz	ERR2779176
efae	E7519	long/E7519_porechop.fastq.gz	ERR2779693
efae	E8414	long/E8414_porechop.fastq.gz	ERR2779091
efae	E4239	long/E4239_porechop.fastq.gz	ERR2778389
efae	E7114	long/E7114_porechop.fastq.gz	ERR2779173
efae	E7591	long/E7591_porechop.fastq.gz	ERR2779672
efae	E8423	long/E8423_porechop.fastq.gz	ERR2778349
efae	E4402	long/E4402_porechop.fastq.gz	ERR2778693
efae	E7160	long/E7160_porechop.fastq.gz	ERR2779043
efae	E7654	long/E7654_porechop.fastq.gz	ERR2778752
efae	E8440	long/E8440_porechop.fastq.gz	ERR2778274
efae	E4413	long/E4413_porechop.fastq.gz	ERR2778532
efae	E7171	long/E7171_porechop.fastq.gz	ERR2778934
efae	E7663	long/E7663_porechop.fastq.gz	ERR2778823
efae	E8481	long/E8481_porechop.fastq.gz	ERR2778265
efae	E4438	long/E4438_porechop.fastq.gz	ERR2779515
efae	E7196	long/E7196_porechop.fastq.gz	ERR2779114
efae	E7933	long/E7933_porechop.fastq.gz	ERR2778797
efae	E8691	long/E8691_porechop.fastq.gz	ERR2778432
efae	E4456	long/E4456_porechop.fastq.gz	ERR2778976
efae	E7199	long/E7199_porechop.fastq.gz	ERR2778393
efae	E7948	long/E7948_porechop.fastq.gz	ERR2778399
efae	E8867	long/E8867_porechop.fastq.gz	ERR2779109
efae	E4457	long/E4457_porechop.fastq.gz	ERR2779768
efae	E7207	long/E7207_porechop.fastq.gz	ERR2778729
efae	E8014	long/E8014_porechop.fastq.gz	ERR2779713
efae	E8927	long/E8927_porechop.fastq.gz	ERR2779533
efae	E6020	long/E6020_porechop.fastq.gz	ERR2779589
efae	E7237	long/E7237_porechop.fastq.gz	ERR2779700
efae	E8040	long/E8040_porechop.fastq.gz	ERR2779230
efae	E9101	long/E9101_porechop.fastq.gz	ERR2778832
efae	E6043	long/E6043_porechop.fastq.gz	ERR2779282
efae	E7240	long/E7240_porechop.fastq.gz	ERR2778583
efae	E8172	long/E8172_porechop.fastq.gz	ERR2779197